# ----------------------------------------
# All Web Site Data
# Searches by Player and Date
# 20191020-20191026
# ----------------------------------------

Event Label,Date,Total Events,Unique Events,Event Value,Avg. Value
79836,20191021,1,1,"79,836","79,836.00"
79836,20191024,1,1,"79,836","79,836.00"
79836,20191026,1,1,"79,836","79,836.00"
15938,20191026,5,2,"79,690","15,938.00"
39799,20191020,2,2,"79,598","39,799.00"
39561,20191020,2,1,"79,122","39,561.00"
78796,20191020,1,1,"78,796","78,796.00"
78796,20191024,1,1,"78,796","78,796.00"
39360,20191021,2,1,"78,720","39,360.00"
78609,20191021,1,1,"78,609","78,609.00"
78526,20191021,1,1,"78,526","78,526.00"
78253,20191025,1,1,"78,253","78,253.00"
78194,20191020,1,1,"78,194","78,194.00"
78194,20191023,1,1,"78,194","78,194.00"
78012,20191022,1,1,"78,012","78,012.00"
77840,20191021,1,1,"77,840","77,840.00"
77317,20191020,1,1,"77,317","77,317.00"
77205,20191022,1,1,"77,205","77,205.00"
77205,20191023,1,1,"77,205","77,205.00"
77199,20191026,1,1,"77,199","77,199.00"
77146,20191020,1,1,"77,146","77,146.00"
77146,20191021,1,1,"77,146","77,146.00"
77146,20191026,1,1,"77,146","77,146.00"
15429,20191020,5,3,"77,145","15,429.00"
77018,20191023,1,1,"77,018","77,018.00"
76762,20191023,1,1,"76,762","76,762.00"
76589,20191023,1,1,"76,589","76,589.00"
76571,20191025,1,1,"76,571","76,571.00"
38190,20191026,2,1,"76,380","38,190.00"
76201,20191021,1,1,"76,201","76,201.00"
76201,20191026,1,1,"76,201","76,201.00"
76106,20191025,1,1,"76,106","76,106.00"
76030,20191021,1,1,"76,030","76,030.00"
76002,20191020,1,1,"76,002","76,002.00"
37928,20191021,2,2,"75,856","37,928.00"
75581,20191021,1,1,"75,581","75,581.00"
75476,20191025,1,1,"75,476","75,476.00"
75327,20191024,1,1,"75,327","75,327.00"
75325,20191023,1,1,"75,325","75,325.00"
75269,20191021,1,1,"75,269","75,269.00"
75269,20191023,1,1,"75,269","75,269.00"
75120,20191025,1,1,"75,120","75,120.00"
74976,20191025,1,1,"74,976","74,976.00"
74976,20191026,1,1,"74,976","74,976.00"
37406,20191025,2,2,"74,812","37,406.00"
74690,20191023,1,1,"74,690","74,690.00"
74631,20191023,1,1,"74,631","74,631.00"
74631,20191024,1,1,"74,631","74,631.00"
74617,20191024,1,1,"74,617","74,617.00"
74555,20191021,1,1,"74,555","74,555.00"
37259,20191020,2,2,"74,518","37,259.00"
37259,20191021,2,2,"74,518","37,259.00"
74398,20191020,1,1,"74,398","74,398.00"
74371,20191021,1,1,"74,371","74,371.00"
74329,20191022,1,1,"74,329","74,329.00"
74139,20191025,1,1,"74,139","74,139.00"
74048,20191021,1,1,"74,048","74,048.00"
36999,20191021,2,2,"73,998","36,999.00"
73920,20191021,1,1,"73,920","73,920.00"
36910,20191022,2,2,"73,820","36,910.00"
73813,20191021,1,1,"73,813","73,813.00"
73727,20191024,1,1,"73,727","73,727.00"
73541,20191026,1,1,"73,541","73,541.00"
73333,20191021,1,1,"73,333","73,333.00"
73333,20191022,1,1,"73,333","73,333.00"
73333,20191024,1,1,"73,333","73,333.00"
73266,20191024,1,1,"73,266","73,266.00"
73146,20191026,1,1,"73,146","73,146.00"
73141,20191020,1,1,"73,141","73,141.00"
73141,20191023,1,1,"73,141","73,141.00"
73024,20191020,1,1,"73,024","73,024.00"
73020,20191020,1,1,"73,020","73,020.00"
18218,20191022,4,1,"72,872","18,218.00"
36414,20191022,2,2,"72,828","36,414.00"
72819,20191025,1,1,"72,819","72,819.00"
72818,20191025,1,1,"72,818","72,818.00"
