"Region","Player","Payout","RawPowerPoints"
"Europe","FA MOSh","2060","2283.78"
"Europe","Just Nyyz","2050","1252.35"
"Europe","Kqin YT","2050","2533.18"
"Europe","Deside16","2050","2349.78"
"Europe","NOM Ohad","2050","2220.90"
"Europe","LOVELYMÆSTRO","2045","2138.96"
"Europe","Twin Toxic","2045","2690.37"
"Europe","Hеretic","2040","2272.27"
"Europe","LPG Lee","2030","3550.25"
"Europe","Smudge-","2025","1926.90"
"Europe","ESB Orinn 16x9","2025","2532.82"
"Europe","backito_","2025","2300.30"
"Europe","Harveγ","2020","2199.72"
"Europe","loft iwnl","2020","2721.80"
"Europe","Xypher Sleveris","2020","2751.52"
"Europe","Xypher Linecut","2020","2975.00"
"Europe","ۤRamb0","2015","2901.55"
"Europe","PRIM benJyyyy","2010","2995.89"
"Europe","Shibukkai","2010","2086.39"
"Europe","leo the crack","2010","3551.08"
"Europe","TekashiFN","2005","3726.42"
"Europe","M10 Kalk","2000","2209.05"
"Europe","Hort Ditrxx","2000","1876.08"
"Europe","CR Mustor","2000","2314.10"
"Europe","CDP.","1995","1850.89"
"Europe","Wishiwasdeadd","1995","2919.60"
"Europe","V Enc Adrian","1975","2150.85"
"Europe","lowzyfishy","1975","2200.43"
"Europe","GV blanc","1975","2679.02"
"Europe","gommru","1975","2694.08"
"Europe","Flames Quitoooo","1975","2207.89"
"Europe","LogicXIX1-","1975","2494.51"
"Europe","Granit bobo","1970","2475.48"
"Europe","Eon Purge","1970","3117.92"
"Europe","PENTA Evoz","1970","1912.80"
"Europe","Аrdit","1970","2801.48"
"Europe","QLASH Foitte","1965","3531.76"
"Europe","NQBQDY_","1965","1773.05"
"Europe","Vëtlë","1965","3638.06"
"Europe","Star Icetzy","1960","1994.02"
"Europe","DualMedia Izenma","1960","3508.15"
"Europe","13UP NokSsito","1950","1831.90"
"Europe","13UP miyoki","1950","2186.28"
"Europe","6ixJay","1950","2097.99"
"Europe","Amorphic Shani","1950","2303.10"
"Europe","Hibuzen","1950","2305.56"
"Europe","Star Polterr","1950","1952.90"
"Europe","Skágen","1950","2314.17"
"Europe","Peutz.","1950","2133.15"
"Europe","Sharpz.","1950","2218.02"
"Europe","Fallen Shipenen","1945","1957.46"
"Europe","Planche.","1940","2582.45"
"Europe","LOST yunoR","1925","2343.17"
"Europe","forZe NITRONATOR","1925","2450.11"
"Europe","Lajna.","1925","2090.59"
"Europe","knudㅤ","1925","2301.79"
"Europe","Atlantis dizkoㅤ","1925","1645.07"
"Europe","avrgbtw","1925","2435.31"
"Europe","Code NRG","1925","2369.22"
"Europe","CStann","1920","2804.19"
