Name,Region,Date,TotalEvents,UniqueEvents
LordNM,NA East,2019-10-17,2,2
LordNM,NA East,2019-10-19,2,2
LordNM,NA East,2019-10-20,2,2
Tubby W Keys,NA East,2019-10-18,1,1
Tr1umphs,NA East,2019-10-20,2,2
Washed Up Moxzi,NA East,2019-10-19,1,1
Тhe Uzi,NA East,2019-10-17,1,1
Тhe Uzi,NA East,2019-10-18,1,1
Тhe Uzi,NA East,2019-10-19,1,1
FaZe Replays,NA East,2019-10-17,1,1
E11 НЕART,NA East,2019-10-16,1,1
E11 НЕART,NA East,2019-10-17,1,1
E11 НЕART,NA East,2019-10-20,4,4
E11 НЕART,NA East,2019-10-19,6,4
LG Devious,NA East,2019-10-16,1,1
LG Devious,NA East,2019-10-19,1,1
Bad RNG Flam,NA East,2019-10-16,2,1
BNKR Midas,NA East,2019-10-16,2,1
BNKR Midas,NA East,2019-10-17,3,2
BNKR Midas,NA East,2019-10-18,1,1
Prestivent,NA East,2019-10-18,1,1
Prestivent,NA East,2019-10-20,1,1
Erupt Void,NA East,2019-10-19,1,1
Evade Muffin,NA East,2019-10-20,2,2
WS Jack,NA East,2019-10-14,1,1
WS Jack,NA East,2019-10-17,1,1
WS Jack,NA East,2019-10-18,1,1
WS Jack,NA East,2019-10-19,1,1
Pyro Happy,NA East,2019-10-18,1,1
Pyro Happy,NA East,2019-10-20,1,1
Twitter H4nssen,NA East,2019-10-20,1,1
Frostioss,NA East,2019-10-17,1,1
burger boy nut,NA East,2019-10-16,1,1
burger boy nut,NA East,2019-10-17,1,1
burger boy nut,NA East,2019-10-19,1,1
burger boy nut,NA East,2019-10-18,6,5
fades,NA East,2019-10-16,2,2
fades,NA East,2019-10-20,2,2
Shaedess,NA East,2019-10-15,1,1
Shaedess,NA East,2019-10-19,1,1
Shaedess,NA East,2019-10-20,1,1
ecoloking,NA East,2019-10-19,1,1
Code Vega,NA East,2019-10-15,2,2
Code Vega,NA East,2019-10-17,2,2
Jororo ツ,NA East,2019-10-17,1,1
77 Janik,NA East,2019-10-15,1,1
77 Janik,NA East,2019-10-20,1,1
77 Janik,NA East,2019-10-16,2,2
MSF Artsy,NA East,2019-10-15,1,1
Rogue Morg,NA East,2019-10-18,3,2
Rogue Morg,NA East,2019-10-19,1,1
Elimz TTV,NA East,2019-10-18,1,1
Shmexy,NA East,2019-10-16,2,1
Shmexy,NA East,2019-10-20,2,2
Bolt Rocaine,NA East,2019-10-19,2,2
Bolt Rocaine,NA East,2019-10-17,1,1
